word,class_a,class_b
tvjopemtb,0.000008069657281655247,0.000008069657281655247
qiffokpmrr,0.000008069657281655247,0.000008069657281655247
pre,0.00004034828640827624,0.00004034828640827624
bitcoin,0.00008069657281655248,0.00008069657281655248
cnugmaks,0.000008069657281655247,0.000008069657281655247
aspects,0.000008069657281655247,0.000008069657281655247
xi,0.000016139314563310495,0.000016139314563310495
kzcx,0.000008069657281655247,0.000008069657281655247
pietromarx,0.000008069657281655247,0.000008069657281655247
stevens,0.000008069657281655247,0.000008069657281655247
efhrkqq,0.000008069657281655247,0.000008069657281655247
northfloridatpo,0.000016139314563310495,0.000016139314563310495
woke,0.000016139314563310495,0.000016139314563310495
kungmmqff,0.000008069657281655247,0.000008069657281655247
ridden,0.000008069657281655247,0.000008069657281655247
olmbqt,0.000008069657281655247,0.000008069657281655247
instructors,0.000008069657281655247,0.000008069657281655247
aadhv,0.000008069657281655247,0.000008069657281655247
conneally,0.000008069657281655247,0.000008069657281655247
nlok,0.000008069657281655247,0.000008069657281655247
tuy,0.000008069657281655247,0.000008069657281655247
carried,0.000008069657281655247,0.000008069657281655247
passes,0.00003227862912662099,0.00003227862912662099
fb,0.00019367177475972596,0.00019367177475972596
hopefully,0.00003227862912662099,0.00003227862912662099
xczpij,0.000008069657281655247,0.000008069657281655247
meta,0.000008069657281655247,0.000008069657281655247
hukga,0.000008069657281655247,0.000008069657281655247
analyst,0.00004034828640827624,0.00004034828640827624
masherydev,0.000008069657281655247,0.000008069657281655247
xwwl,0.000008069657281655247,0.000008069657281655247
flatcat,0.000008069657281655247,0.000008069657281655247
ugliness,0.000008069657281655247,0.000008069657281655247
kemafn,0.000008069657281655247,0.000008069657281655247
computerbild,0.000008069657281655247,0.000008069657281655247
cruisin,0.000008069657281655247,0.000008069657281655247
wskibkoxvc,0.000008069657281655247,0.000008069657281655247
volumes,0.000008069657281655247,0.000008069657281655247
gmshptc,0.000008069657281655247,0.000008069657281655247
final,0.000008069657281655247,0.000008069657281655247
hamilton,0,0
byvducexqq,0.000008069657281655247,0.000008069657281655247
marco,0.000008069657281655247,0.000008069657281655247
dwe,0.000008069657281655247,0.000008069657281655247
gxwpbnqs,0.000008069657281655247,0.000008069657281655247
jkire,0.000008069657281655247,0.000008069657281655247
tpap,0.000008069657281655247,0.000008069657281655247
